Atom,Group,Period,Atomic weight,Atomic number,Density,Heat of fusion,Heat capacity,Electronegativity,1st Ionisation energy,Atomic radius,VdW radius,Speed of sound,Bulk modulus,Youngs modulus
Ag,0.625,1.0,0.848797420092775,0.8846153846153846,1.0,0.09550576217242883,0.27604803336449274,0.35126582278481006,0.24734590397718267,0.576530612244898,0.33548387096774196,0.14099331213682711,0.12847993556516882,0.07788839302742495
Al,0.75,0.5,0.20630520429560908,0.23076923076923078,0.2512495194156094,0.09062909062909064,0.2595095994822751,0.25000000000000006,0.12573284740928536,0.5714285714285714,0.4129032258064516,0.2681723495230786,0.09730179144419762,0.0654918564290346
As,0.875,0.75,0.5870956980364747,0.6153846153846154,0.5421953094963475,0.20809698587476366,0.26583734809808013,0.4303797468354431,0.41847567738868646,0.4489795918367347,0.41935483870967744,0.17772174103716698,0.02715096717201242,0.006369912652095968
B,0.75,0.25,0.07782614221261992,0.07692307692307693,0.1916570549788543,0.42848831737720633,0.0709283094844323,0.38607594936708867,0.3024877198542228,0.3010204081632653,0.4645161290322581,0.8821401162153273,0.23890252932694184,0.3801731700804821
Br,1.0,0.75,0.626652157336214,0.6538461538461539,0.28996539792387543,0.08943986721764499,1.0,0.6772151898734178,0.5713040722547933,0.45408163265306123,0.41935483870967744,0.005372217958557176,0.00376735908128402,0.0053781897242247394
C,0.8125,0.25,0.08738641418313528,0.09615384615384616,0.32958477508650524,1.0,0.0,0.5474683544303797,0.528996989383616,0.19387755102040816,0.3225806451612903,1.0,0.5727684892890084,1.0
Ca,0.0625,0.75,0.31033551502827733,0.36538461538461536,0.14071510957324107,0.07206351650796095,0.28437477529301786,0.05696202531645571,0.13547773728410706,0.8469387755102041,0.7161290322580646,0.20293827431202718,0.02065552048014342,0.017812869512148603
Cl,1.0,0.5,0.27354324204104974,0.3076923076923077,0.14191657054978854,0.053805942694831584,0.39971237506291796,0.7405063291139241,0.6594834416098876,0.3622448979591837,0.3548387096774194,0.0053173994079596535,0.0,0.0
F,1.0,0.25,0.14289572345427973,0.15384615384615385,0.15474817377931563,0.001182378960156738,0.31415833752786365,1.0,1.0,0.1683673469387755,0.0967741935483871,0.012279355333844973,0.00506644841965782,0.0033184574894152643
H,0.0,0.0,0.0,0.0,0.0,0.0,0.32618105989789314,0.4367088607594938,0.7076533037553479,0.0,0.0,0.06589189781822169,1.0,0.49059770377998996
I,1.0,1.0,1.0,1.0,0.4658785082660515,0.1317813540035762,0.6943985043503271,0.5822784810126583,0.4671209000158453,0.5561224489795918,0.5032258064516129,0.0,0.00857398963326708,0.00755235152763474
K,0.0,0.75,0.30255369511342695,0.34615384615384615,0.07727797001153403,0.018933463377907824,0.3371683324944273,0.0,0.0,1.0,1.0,0.10371669773051201,0.0025981786767476,0.002107411221726361
Li,0.0,0.25,0.04710237021033233,0.038461538461538464,0.043060361399461754,0.024665691332358,0.26900122240598257,0.05063291139240507,0.08033592140706705,0.5,0.4,0.32299090012060083,0.012860984449900621,0.003413815463249037
Mg,0.0625,0.5,0.18504162165597,0.21153846153846154,0.1587850826605152,0.07155018266129377,0.2691306536276695,0.15506329113924053,0.2526540960228173,0.6581632653061225,0.3419354838709677,0.2648832364872273,0.044558764306221334,0.0416523629705916
N,0.875,0.25,0.1032439473851433,0.11538461538461539,0.06939638600538256,0.005159005159005159,0.3303228589918746,0.7025316455696203,0.7791950562509903,0.20408163265306123,0.22580645161290322,0.01343054489639294,0.00012990893383737982,0.00011442956860052625
Na,0.0,0.5,0.1745964923428862,0.19230769230769232,0.08477508650519032,0.021243465687910135,0.3174660243043072,0.03481012658227851,0.06100459515132309,0.7908163265306123,0.6903225806451613,0.16949895844753865,0.006755264559543759,0.008277072128771407
O,0.9375,0.25,0.11907471246107898,0.1346153846153846,0.10140330642060745,0.002797669464336131,0.33397569569281654,0.8291139240506329,0.7091586119473935,0.17857142857142858,0.2064516129032258,0.012169718232649928,0.00636553775803162,0.0038906053324178967
P,0.875,0.5,0.23801391624833196,0.2692307692307692,0.2185697808535179,0.00464567131233798,0.2541022506651327,0.4335443037974684,0.46981460941213754,0.3877551020408163,0.3870967741935484,0.018364214450169936,0.00896371643477922,0.00789564023343632
S,0.9375,0.5,0.24664008387875705,0.28846153846153844,0.18012302960399845,0.013774458218902665,0.23865679154382685,0.5569620253164558,0.4601489462842655,0.37755102040816324,0.3870967741935484,0.018364214450169936,0.00857398963326708,0.00755235152763474
Se,0.9375,0.75,0.6192651077079495,0.6346153846153846,0.4136870434448289,0.056235722902389575,0.27623498957359605,0.5474683544303797,0.41372207257170024,0.45408163265306123,0.45161290322580644,0.17772174103716698,0.009353443236291361,0.008277072128771407
Si,0.8125,0.5,0.2150664040160132,0.25,0.21559015763168016,0.4285738730183175,0.1960739196088301,0.34177215189873417,0.29131674853430517,0.40816326530612246,0.5806451612903226,0.45636443372437235,0.1253621211530717,0.14177823549605217
Sr,0.0625,1.0,0.6879646692508102,0.7115384615384616,0.2454825067281815,0.06256684034461812,0.29114834256130007,0.04113924050632911,0.1035493582633497,0.9387755102040817,0.832258064516129,0.06534371231224646,0.014017173961053304,0.01371247663729641
Zn,0.6875,0.75,0.5113109233017729,0.5576923076923077,0.6780084582852749,0.06162572829239497,0.27777378298698496,0.2626582278481012,0.38630961812707965,0.5255102040816326,0.12258064516129032,0.2051310163359281,0.08950725541395482,0.10172788648586795
