Atom,Group,Period,Atomic weight,Atomic number,Density,Heat of fusion,Heat capacity,Electronegativity,1st Ionisation energy,Atomic radius,VdW radius,Speed of sound,Bulk modulus,Youngs modulus
Ag,11.0,5.0,107.8682,47.0,10.49,11.28,25.350,1.93,731.0,144.0,172.0,2680.0,100.0,83.0
Al,13.0,3.0,26.981,13.0,2.70,10.71,24.20,1.61,577.5,143.0,184.0,5000.0,76.0,70.0
As,15.0,4.0,74.921,33.0,5.727,24.44,24.64,2.18,947.0,119,185,3350,22.0,8.0
B,13.0,2.0,10.806,5.0,2.08,50.2,11.087,2.04,800.6,90.0,192.0,16200.0,185.0,400.0
Br,17.0,4.0,79.901,35.0,3.1028,10.571,75.69,2.96,1139.9,120.0,185.0,206.0,4.0,6.96
C,14.0,2.0,12.0096,6.0,3.515,117.0,6.155,2.55,1086.5,69.0,170.0,18350.0,442.0,1050.0
Ca,2.0,4.0,40.078,20.0,1.55,8.54,25.929,1.00,589.8,197.0,231.0,3810.0,17.0,20.0
Cl,17.0,3.0,35.446,17.0,1.5625,6.406,33.949,3.16,1251.2,102.0,175.0,205.0,1.1,1.32
F,17.0,2.0,18.998,9.0,1.696,0.2552,28.0,3.98,1681.0,64.0,135.0,332.0,5.0,4.8
H,1.0,1.0,1.008,1.0,0.086,0.117,28.836,2.20,1312.0,31.0,120.0,1310.0,770.87,515.8
I,17.0,5.0,126.904,53.0,4.933,15.52,54.44,2.66,1008.4,140.0,198.0,108.0,7.7,9.24
K,1.0,4.0,39.0983,19.0,0.89,2.33,29.6,0.82,418.8,227.0,275.0,2000.0,3.1,3.53
Li,1.0,2.0,6.938,3.0,0.534,3.00,24.860,0.98,520.2,129.0,182.0,6000.0,11.0,4.9
Mg,2.0,3.0,24.304,12.0,1.738,8.48,24.869,1.31,737.7,160.0,173.0,4940.0,35.4,45.0
N,15.0,2.0,14.006,7.0,0.808,0.72,29.124,3.04,1402.3,71.0,155.0,353.0,1.2,1.44
Na,1.0,3.0,22.989,11.0,0.968,2.60,28.230,0.93,495.8,186.0,227.0,3200,6.3,10.0
O,16.0,2.0,15.99903,8.0,1.141,0.444,29.378,3.44,1313.9,66.0,152.0,330.0,6.0,5.4
P,15.0,3.0,30.973,15.0,2.36,0.66,23.824,2.19,1011.8,107.0,180.0,443,8.0,9.6
S,16.0,3.0,32.059,16.0,1.96,1.727,22.75,2.58,999.6,105.0,180.0,443,7.7,9.24
Se,16.0,4.0,78.971,34.0,4.39,6.69,25.363,2.55,941.0,120.0,190.0,3350.0,8.3,10.0
Si,14.0,3.0,28.084,14.0,2.3290,50.21,19.789,1.90,786.5,111.0,210.0,8433.0,97.6,150.0
Sr,2.0,5.0,87.62,38.0,2.64,7.43,26.4,0.95,549.5,215.0,249.0,1300.0,11.89,15.7
Zn,12.0,4.0,65.38,30.0,7.14,7.32,25.470,1.65,906.4,134.0,139.0,3850.0,70.0,108.0
